Cierre,Date,Cartera,Close,Saldo
201302,2013-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,129581582.1,982138614.7
201303,2013-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,131007425.6,1015878716
201304,2013-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,132719542.1,1012149246
201305,2013-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,134532447.6,1008821660
201306,2013-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,136319649.6,1005197793
201307,2013-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,137743023.7,1000937476
201308,2013-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,139227818,996657361.3
201309,2013-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,141071413.2,992958864.9
201310,2013-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,142809290.4,989242109.2
201311,2013-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,144570297,985962122.3
201312,2013-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,145311246.5,980936382.5
201401,2014-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,151804199.7,976340086.9
201402,2014-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,152466610.3,972197002.9
201403,2014-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,154247536.7,1007212754
201404,2014-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,155962782.1,1003818125
201405,2014-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,157634600.9,1000155284
201406,2014-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,159166494.6,995595297.7
201407,2014-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,160403516.5,991379735.4
201408,2014-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,161819050.9,986960222.9
201409,2014-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,161859778,982925018.3
201410,2014-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,163439983.7,979338458.2
201411,2014-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,165498143.3,976212381.6
201412,2014-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,166303540,971188211.3
201501,2015-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,173947676.6,965522975.9
201502,2015-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,175506306.2,960629523.2
201503,2015-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,177027464.3,996406502.7
201504,2015-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,178776075.9,992798140.7
201505,2015-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,180157022.2,988916391.8
201506,2015-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,181748314.1,985671354.9
