Cierre,Date,Cartera,Close,Saldo
201802,2018-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,717773996.1,7764622401
201803,2018-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,724368366.2,8311573766
201804,2018-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,733649648,8409397466
201805,2018-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,743226227,8449223763
201806,2018-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,751698129.9,8457739879
201807,2018-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,753214339.2,7338094694
201808,2018-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,767623203.5,8542762840
201809,2018-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,773447464.4,8721767700
201810,2018-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,780707367.9,8776029217
201811,2018-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,788446124.7,8826518139
201812,2018-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,798999396.6,8799065968
201901,2019-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,935046532.2,8872020713
201902,2019-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,944416845.5,8858132763
201903,2019-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,956435141.5,9258307644
201904,2019-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,971508396.3,9250959791
201905,2019-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,982963640.6,9247284035
201906,2019-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,994666856.4,9279226140
201907,2019-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1009616455,9288517083
201908,2019-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1017736766,9275105169
201909,2019-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1031731528,9311499304
201910,2019-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1044680050,9276644902
201911,2019-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1057078257,9257330348
201912,2019-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1065940934,9223914066
202001,2020-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1284380358,9341821437
202002,2020-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1291227974,9315125496
202003,2020-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1305177601,9509737096
202004,2020-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1331512136,9491567541
202005,2020-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1358733341,9468418409
202006,2020-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1388209317,9445155048
202007,2020-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1411657133,9415539668
202008,2020-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1425781853,9376682526
202009,2020-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1442141053,9331262539
202010,2020-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1460517935,9611729975
202011,2020-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,1478709462,9708225147
